IDRegistroServicio,Fecha,IDPersonal,IDServicio,Cantidad,Precio,Total,Modalidad,MetodoPago,Notas
33,2026-01-28,1,11,1,78.0,78.0,Local,Yape,
34,2026-01-28,1,1,1,39.0,39.0,Domicilio,Efectivo,
35,2026-01-30,1,3,1,36.0,36.0,Local,Efectivo,
36,2026-01-31,1,12,1,14.0,14.0,Local,Yape,
37,2026-02-01,1,8,1,28.0,28.0,Local,Yape,
38,2026-02-01,1,7,1,28.0,28.0,Local,Yape,
39,2026-02-02,1,7,1,25.0,25.0,Local,Efectivo,
40,2026-02-04,1,16,1,13.0,13.0,Local,Mixto,
41,2026-02-05,1,12,1,15.0,15.0,Local,Efectivo,
42,2026-02-05,1,8,1,27.0,27.0,Local,Efectivo,
43,2026-02-05,1,1,1,44.0,44.0,Local,Yape,
44,2026-02-08,1,7,1,25.0,25.0,Local,Yape,
45,2026-02-08,1,11,1,60.0,60.0,Domicilio,Yape,
46,2026-02-09,1,13,1,67.0,67.0,Local,Efectivo,
47,2026-02-09,1,5,1,5.0,5.0,Local,Efectivo,
48,2026-02-09,1,5,1,7.0,7.0,Local,Efectivo,
49,2026-02-10,1,5,1,6.0,6.0,Local,Efectivo,
50,2026-02-10,1,4,1,38.0,38.0,Domicilio,Efectivo,
51,2026-02-11,1,7,1,21.0,21.0,Local,Efectivo,
52,2026-02-12,1,9,1,6.0,6.0,Local,Efectivo,
53,2026-02-12,1,12,1,15.0,15.0,Local,Yape,
54,2026-02-13,1,5,1,6.0,6.0,Local,Efectivo,
55,2026-02-13,1,15,1,13.0,13.0,Local,Yape,
56,2026-02-14,1,6,1,16.0,16.0,Local,Efectivo,
57,2026-02-16,1,16,1,16.0,16.0,Local,Efectivo,
58,2026-02-16,1,8,1,24.0,24.0,Local,Efectivo,
59,2026-02-17,1,1,1,48.0,48.0,Domicilio,Efectivo,
60,2026-02-17,1,7,1,27.0,27.0,Local,Efectivo,
61,2026-02-17,1,16,1,15.0,15.0,Local,Efectivo,
62,2026-02-18,1,7,1,28.0,28.0,Local,Efectivo,
63,2026-02-19,1,11,1,60.0,60.0,Local,Efectivo,
64,2026-02-19,1,10,1,37.0,37.0,Local,Efectivo,
65,2026-02-19,1,12,1,11.0,11.0,Local,Mixto,
66,2026-02-20,1,4,1,36.0,36.0,Local,Mixto,
67,2026-02-21,1,6,1,20.0,20.0,Domicilio,Efectivo,
68,2026-02-22,1,7,1,24.0,24.0,Local,Efectivo,
69,2026-02-22,1,11,1,73.0,73.0,Local,Efectivo,
70,2026-02-23,1,10,1,34.0,34.0,Local,Mixto,
71,2026-02-23,1,8,1,32.0,32.0,Local,Efectivo,
72,2026-02-25,1,9,1,7.0,7.0,Local,Yape,
73,2026-02-26,1,13,1,53.0,53.0,Domicilio,Efectivo,
74,2026-02-27,1,3,1,31.0,31.0,Local,Efectivo,
75,2026-02-27,1,3,1,31.0,31.0,Local,Efectivo,
76,2026-02-28,1,3,1,35.0,35.0,Local,Efectivo,
77,2026-03-02,1,1,1,41.0,41.0,Local,Yape,
78,2026-03-02,1,9,1,7.0,7.0,Local,Yape,
79,2026-03-02,1,4,1,45.0,45.0,Local,Efectivo,
80,2026-03-03,1,10,1,34.0,34.0,Local,Efectivo,
81,2026-03-04,1,9,1,6.0,6.0,Local,Efectivo,
82,2026-03-07,1,16,1,13.0,13.0,Local,Yape,
83,2026-03-08,1,16,1,15.0,15.0,Local,Mixto,
84,2026-03-08,1,10,1,36.0,36.0,Domicilio,Efectivo,
85,2026-03-09,1,13,1,72.0,72.0,Domicilio,Yape,
86,2026-03-12,1,14,1,24.0,24.0,Local,Yape,
87,2026-03-13,1,8,1,29.0,29.0,Local,Efectivo,
88,2026-03-14,1,15,1,9.0,9.0,Local,Efectivo,
89,2026-03-15,1,8,1,22.0,22.0,Local,Efectivo,
90,2026-03-15,1,6,1,15.0,15.0,Local,Efectivo,
91,2026-03-16,1,8,1,27.0,27.0,Local,Efectivo,
92,2026-03-18,1,13,1,63.0,63.0,Local,Efectivo,
93,2026-03-19,1,3,1,35.0,35.0,Local,Yape,
94,2026-03-20,1,11,1,77.0,77.0,Local,Efectivo,
95,2026-03-20,1,5,1,5.0,5.0,Local,Yape,
96,2026-03-21,1,5,1,7.0,7.0,Local,Efectivo,
97,2026-03-21,1,1,1,50.0,50.0,Local,Yape,
98,2026-03-22,1,3,1,28.0,28.0,Local,Efectivo,
99,2026-03-24,1,15,1,12.0,12.0,Local,Yape,
100,2026-03-24,1,8,1,27.0,27.0,Local,Yape,
101,2026-03-27,1,9,1,7.0,7.0,Local,Efectivo,
102,2026-03-27,1,7,1,23.0,23.0,Local,Efectivo,
103,2026-03-27,1,13,1,51.0,51.0,Domicilio,Efectivo,
104,2026-03-29,1,3,1,35.0,35.0,Local,Yape,
105,2026-03-30,1,5,1,5.0,5.0,Local,Efectivo,
106,2026-04-01,1,16,1,14.0,14.0,Local,Efectivo,
107,2026-04-02,1,4,1,45.0,45.0,Local,Efectivo,
108,2026-04-02,1,3,1,39.0,39.0,Local,Efectivo,
109,2026-04-02,1,15,1,14.0,14.0,Local,Yape,
110,2026-04-03,1,3,1,35.0,35.0,Local,Efectivo,
111,2026-04-04,1,5,1,7.0,7.0,Local,Efectivo,
112,2026-04-04,1,4,1,41.0,41.0,Local,Yape,
113,2026-04-05,1,13,1,50.0,50.0,Local,Efectivo,
114,2026-04-05,1,15,1,11.0,11.0,Local,Efectivo,
115,2026-04-05,1,13,1,57.0,57.0,Local,Efectivo,
116,2026-04-06,1,13,1,52.0,52.0,Domicilio,Yape,
117,2026-04-06,1,10,1,30.0,30.0,Local,Efectivo,
118,2026-04-08,1,14,1,30.0,30.0,Local,Efectivo,
119,2026-04-08,1,2,1,33.0,33.0,Local,Yape,
120,2026-04-09,1,9,1,6.0,6.0,Local,Yape,
121,2026-04-10,1,1,1,49.0,49.0,Local,Yape,
122,2026-04-10,1,7,1,27.0,27.0,Local,Yape,
123,2026-04-11,1,5,1,7.0,7.0,Local,Efectivo,
124,2026-04-11,1,5,1,6.0,6.0,Local,Efectivo,
125,2026-04-11,1,9,1,7.0,7.0,Domicilio,Efectivo,
126,2026-04-12,1,10,1,33.0,33.0,Local,Efectivo,
127,2026-04-13,1,3,1,30.0,30.0,Domicilio,Efectivo,
128,2026-04-14,1,15,1,13.0,13.0,Domicilio,Efectivo,
129,2026-04-15,1,7,1,23.0,23.0,Local,Efectivo,
130,2026-04-16,1,8,1,26.0,26.0,Local,Efectivo,
131,2026-04-16,1,1,1,48.0,48.0,Local,Efectivo,
132,2026-04-17,1,13,1,56.0,56.0,Local,Efectivo,
133,2026-04-18,1,5,1,7.0,7.0,Local,Yape,
134,2026-04-18,1,7,1,21.0,21.0,Local,Efectivo,
135,2026-04-19,1,14,1,32.0,32.0,Local,Yape,
136,2026-04-19,1,1,1,38.0,38.0,Local,Yape,
137,2026-04-19,1,16,1,17.0,17.0,Local,Efectivo,
138,2026-04-20,1,15,1,10.0,10.0,Local,Efectivo,
139,2026-04-20,1,4,1,44.0,44.0,Local,Yape,
140,2026-04-20,1,15,1,10.0,10.0,Local,Efectivo,
141,2026-04-21,1,8,1,28.0,28.0,Local,Yape,
142,2026-04-22,1,9,1,6.0,6.0,Local,Yape,
143,2026-04-25,1,7,1,24.0,24.0,Local,Yape,
144,2026-04-27,1,15,1,11.0,11.0,Local,Yape,
145,2026-04-28,1,16,1,15.0,15.0,Local,Efectivo,
146,2026-04-29,1,10,1,28.0,28.0,Local,Yape,
147,2026-04-29,1,14,1,23.0,23.0,Local,Efectivo,
148,2026-04-30,1,8,1,27.0,27.0,Local,Yape,
149,2026-04-30,1,12,1,13.0,13.0,Local,Yape,
150,2026-05-02,1,16,1,17.0,17.0,Local,Yape,
151,2026-05-03,1,15,1,10.0,10.0,Local,Efectivo,
152,2026-05-04,1,6,1,22.0,22.0,Local,Yape,
153,2026-05-04,1,2,1,34.0,34.0,Local,Efectivo,
154,2026-05-04,1,7,1,21.0,21.0,Local,Efectivo,
155,2026-05-06,1,13,1,60.0,60.0,Local,Efectivo,
156,2026-05-09,1,11,1,63.0,63.0,Local,Efectivo,
157,2026-05-10,1,2,1,27.0,27.0,Local,Yape,
158,2026-05-10,1,11,1,70.0,70.0,Local,Efectivo,
159,2026-05-10,1,3,1,32.0,32.0,Domicilio,Efectivo,
160,2026-05-11,1,13,1,58.0,58.0,Local,Yape,
161,2026-05-12,1,3,1,28.0,28.0,Local,Efectivo,
162,2026-05-12,1,15,1,10.0,10.0,Local,Yape,
163,2026-05-14,1,8,1,31.0,31.0,Local,Efectivo,
164,2026-05-14,1,2,1,29.0,29.0,Local,Efectivo,
165,2026-05-15,1,3,1,39.0,39.0,Local,Efectivo,
166,2026-05-17,1,11,1,83.0,83.0,Local,Yape,
167,2026-05-20,1,4,1,37.0,37.0,Domicilio,Mixto,
168,2026-05-21,1,9,1,7.0,7.0,Local,Efectivo,
169,2026-05-21,1,16,1,13.0,13.0,Local,Yape,
170,2026-05-22,1,8,1,26.0,26.0,Local,Efectivo,
171,2026-05-24,1,13,1,67.0,67.0,Local,Efectivo,
172,2026-05-26,1,11,1,62.0,62.0,Local,Efectivo,
173,2026-05-26,1,3,1,31.0,31.0,Local,Efectivo,
174,2026-05-26,1,16,1,17.0,17.0,Domicilio,Efectivo,
175,2026-05-27,1,14,1,27.0,27.0,Local,Efectivo,
176,2026-05-29,1,10,1,31.0,31.0,Local,Efectivo,
177,2026-05-30,1,7,1,25.0,25.0,Local,Efectivo,
178,2026-05-31,1,7,1,24.0,24.0,Local,Mixto,
179,2026-06-01,1,4,1,40.0,40.0,Domicilio,Efectivo,
180,2026-06-02,1,8,1,31.0,31.0,Domicilio,Efectivo,
181,2026-06-02,1,10,1,30.0,30.0,Local,Yape,
182,2026-06-02,1,7,1,29.0,29.0,Local,Yape,
183,2026-06-03,1,9,1,7.0,7.0,Local,Efectivo,
184,2026-06-03,1,12,1,11.0,11.0,Local,Efectivo,
185,2026-06-03,1,7,1,30.0,30.0,Local,Yape,
186,2026-06-04,1,1,1,49.0,49.0,Local,Efectivo,
187,2026-06-05,1,3,1,30.0,30.0,Local,Efectivo,
188,2026-06-07,1,4,1,42.0,42.0,Local,Efectivo,
189,2026-06-07,1,3,1,36.0,36.0,Local,Efectivo,
190,2026-06-08,1,10,1,33.0,33.0,Local,Yape,
191,2026-06-09,1,14,1,26.0,26.0,Local,Mixto,
192,2026-06-09,1,12,1,13.0,13.0,Local,Efectivo,
